Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
87,0,-0.019216,-0.012055,0.133210,23.718262,4.174113,214.721375
88,0,-0.018907,-0.011232,0.133391,23.813395,4.123135,214.662247
89,0,-0.018894,-0.011215,0.133636,23.791569,4.114837,214.639847
90,0,-0.018915,-0.011289,0.133585,23.779560,4.109303,214.645233
91,0,-0.018844,-0.011207,0.133586,23.801586,4.102578,214.640808
92,0,-0.018863,-0.011327,0.133450,23.795446,4.094388,214.646378
93,0,-0.018763,-0.011482,0.133259,23.813423,4.078762,214.653152
94,0,-0.018737,-0.011502,0.133251,23.810581,4.059776,214.643921
95,0,-0.018664,-0.011626,0.132987,23.828384,4.009411,214.627441
96,0,-0.018369,-0.011659,0.132819,23.865948,3.944234,214.621719
97,0,-0.018195,-0.011679,0.132467,23.913929,3.875466,214.602188
98,0,-0.017987,-0.011584,0.132109,23.980925,3.801468,214.584274
99,0,-0.017740,-0.011528,0.131805,24.034138,3.715361,214.566452
100,0,-0.017572,-0.011346,0.131781,24.067902,3.639969,214.541519
101,0,-0.017403,-0.011532,0.131557,24.092169,3.569316,214.519623
102,0,-0.017337,-0.011230,0.131506,24.120413,3.538379,214.523895
103,0,-0.017132,-0.011305,0.131513,24.146158,3.493636,214.498489
104,0,-0.017075,-0.011344,0.131408,24.159626,3.473844,214.502640
105,0,-0.017170,-0.010388,0.131961,24.207945,3.474201,214.483719
106,0,-0.017166,-0.010701,0.131649,24.209913,3.467772,214.486115
107,0,-0.017041,-0.010524,0.131652,24.219194,3.431089,214.478622
108,0,-0.017064,-0.010538,0.131716,24.223352,3.431150,214.473145
109,0,-0.016991,-0.010614,0.131695,24.221460,3.425768,214.476746
110,0,-0.017052,-0.010672,0.131544,24.217716,3.426105,214.468140
111,0,-0.017033,-0.010613,0.131568,24.232656,3.438518,214.470551
112,0,-0.017069,-0.010367,0.131927,24.222427,3.433490,214.478592
113,0,-0.017054,-0.010591,0.131783,24.230471,3.430427,214.465469
114,0,-0.017126,-0.010752,0.131363,24.230377,3.434612,214.486404
115,0,-0.017099,-0.010619,0.131554,24.214220,3.433298,214.473282
116,0,-0.016954,-0.010559,0.131897,24.214787,3.426708,214.480682
117,0,-0.017089,-0.010668,0.131659,24.208391,3.432866,214.482300
