IL,165572,-0.131895,-26.38732 
IL,165574,-0.134034,-26.83171 
IL,165577,-0.135601,-27.16191 
IL,165579,-0.137457,-27.55028 
IL,165582,-0.141293,-28.33483 
IL,165584,-0.143795,-28.85309 
IL,165587,-0.151640,-30.44044 
IL,165589,-0.154274,-30.98636 
IL,165592,-0.146161,-29.38260 
IL,165594,-0.154121,-30.99337 
IL,165597,-0.169124,-34.01405 
IL,165599,-0.161352,-32.48044 
IL,165602,-0.148603,-29.94991 
IL,165604,-0.157072,-31.66279 
IL,165607,-0.166720,-33.61263 
IL,165609,-0.158719,-32.03272 
IL,165612,-0.148479,-30.00398 
IL,165614,-0.155490,-31.42497 
IL,165617,-0.157274,-31.80147 
IL,165619,-0.142379,-28.84116 
IL,165622,-0.135273,-27.43726 
IL,165624,-0.135320,-27.46350 
IL,165627,-0.129859,-26.38790 
IL,165629,-0.117551,-23.94163 
IL,165632,-0.118987,-24.24364 
IL,165634,-0.127493,-25.96022 
IL,165637,-0.123489,-25.17510 
IL,165639,-0.109548,-22.40137 
IL,165642,-0.107430,-21.99131 
IL,165644,-0.112535,-23.02605 
IL,165647,-0.110616,-22.65601 
IL,165649,-0.103438,-21.23371 
IL,165652,-0.109737,-22.50693 
IL,165654,-0.115863,-23.74618 
IL,165657,-0.108761,-22.33966 
IL,165659,-0.100964,-20.79328 
IL,165662,-0.103417,-21.29667 
IL,165664,-0.106054,-21.83707 
IL,165667,-0.106587,-21.95691 
IL,165669,-0.113866,-23.42650 
IL,165672,-0.116458,-23.95918 
IL,165674,-0.109961,-22.67382 
IL,165677,-0.102736,-21.24216 
IL,165679,-0.106491,-22.00604 
IL,165682,-0.113319,-23.38543 
OL,165682,-0.433999,-2.018615 
IL,165684,-2.134643,-427.7906 
IL,165687,-2.137627,-428.6542 
IL,165689,-2.136818,-428.7595 
IL,165692,-2.131097,-427.8817 
IL,165694,-2.131727,-428.2740 
IL,165697,-2.139897,-430.1747 
IL,165699,-2.146905,-431.8439 
IL,165702,-2.142169,-431.1643 
IL,165704,-2.124261,-427.8489 
IL,165707,-2.117049,-426.6711 
IL,165709,-2.112483,-426.0219 
IL,165712,-2.092253,-422.2380 
IL,165714,-2.060675,-416.1815 
OL,165714,-0.438170,-1.779534 
IL,165717,-1.807445,-365.7766 
IL,165719,-1.776544,-359.8197 
IL,165722,-1.747435,-354.2174 
IL,165724,-1.719848,-348.9161 
IL,165727,-1.692679,-343.6948 
IL,165729,-1.647014,-334.7699 
IL,165732,-1.591596,-323.8878 
IL,165734,-1.564895,-318.7440 
IL,165737,-1.526204,-311.1983 
IL,165739,-1.485898,-303.3246 
IL,165742,-1.440122,-294.3515 
IL,165744,-1.388597,-284.2223 
IL,165747,-1.345978,-275.8685 
OL,165747,-0.440554,-1.605573 
IL,165749,-1.128100,-232.4467 
IL,165752,-1.103782,-227.7217 
IL,165754,-1.042629,-215.6244 
IL,165757,-0.996183,-206.4619 
IL,165759,-0.944268,-196.1993 
IL,165762,-0.905582,-188.5768 
IL,165764,-0.848075,-177.1840 
IL,165767,-0.812839,-170.2400 
IL,165769,-0.766266,-161.0231 
IL,165772,-0.714901,-150.8418 
IL,165774,-0.677241,-143.3959 
IL,165777,-0.650206,-138.0710 
IL,165779,-0.604804,-129.0682 
OL,165779,-0.440554,-1.474062 
IL,165782,-0.401051,-88.37971 
IL,165784,-0.374156,-83.04834 
IL,165787,-0.345508,-77.36307 
IL,165789,-0.311448,-70.59128 
IL,165792,-0.271157,-62.56876 
IL,165794,-0.229549,-54.27773 
IL,165797,-0.195043,-47.40236 
IL,165799,-0.151670,-38.74875 
IL,165802,-0.141092,-36.65065 
IL,165804,-0.110010,-30.44935 
