1;0
1.05;760
1.1;1830
1.15;2910
1.2;3960
1.25;5000
1.3;6030
1.35;7080
1.4;8130
1.45;9170
1.5;10120
1.55;11280
1.6;12300
1.65;13320
1.7;14300
1.75;15390
1.8;16410
1.85;17390
1.9;18440
1.95;19400
2;20000
