Objects
50
,,Global Angle Drone_2:Drone_2,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,rad,rad,rad,mm,mm,mm
85,0,-0.022298,-0.008651,0.120631,13.681827,-12.627373,214.519318
86,0,-0.021820,-0.008747,0.120691,13.677518,-12.684990,214.534302
87,0,-0.021883,-0.008726,0.120716,13.699879,-12.676177,214.541580
88,0,-0.022004,-0.008750,0.121019,13.693180,-12.681499,214.533493
89,0,-0.022271,-0.008692,0.120858,13.690302,-12.673680,214.512115
90,0,-0.022616,-0.008485,0.120469,13.673437,-12.567321,214.477921
91,0,-0.022534,-0.008307,0.121311,13.677361,-12.649446,214.552841
92,0,-0.022251,-0.008722,0.120775,13.671741,-12.653701,214.532547
93,0,-0.022273,-0.008655,0.120548,13.680326,-12.655222,214.483948
94,0,-0.022439,-0.008376,0.121105,13.699202,-12.662907,214.582169
95,0,-0.022324,-0.008677,0.120662,13.660213,-12.610860,214.511169
96,0,-0.021971,-0.008622,0.120892,13.691068,-12.692424,214.506760
97,0,-0.022153,-0.008524,0.121039,13.688221,-12.657383,214.554169
98,0,-0.021965,-0.008662,0.120670,13.699887,-12.674774,214.543045
99,0,-0.022403,-0.008717,0.120479,13.646160,-12.624910,214.470795
100,0,-0.022206,-0.008709,0.120680,13.687385,-12.636433,214.520966
101,0,-0.022271,-0.009077,0.120606,13.684766,-12.683493,214.556244
102,0,-0.022198,-0.008780,0.120595,13.655435,-12.696731,214.478409
103,0,-0.021905,-0.008745,0.120656,13.695107,-12.687908,214.519348
104,0,-0.022045,-0.008928,0.120628,13.665967,-12.653958,214.522751
105,0,-0.022317,-0.008788,0.120421,13.681703,-12.643915,214.535507
106,0,-0.021887,-0.008810,0.120890,13.681915,-12.701225,214.495682
107,0,-0.022327,-0.008565,0.120561,13.673071,-12.615465,214.532578
108,0,-0.022181,-0.008856,0.120774,13.679435,-12.669275,214.499115
109,0,-0.022216,-0.008813,0.120750,13.665547,-12.667409,214.471542
110,0,-0.021944,-0.008782,0.120517,13.687380,-12.668640,214.532516
111,0,-0.022014,-0.008773,0.120536,13.695875,-12.643074,214.519775
112,0,-0.022043,-0.008729,0.120688,13.672279,-12.662787,214.506561
113,0,-0.021909,-0.008585,0.120840,13.688321,-12.672036,214.527863
114,0,-0.021973,-0.008613,0.120746,13.688276,-12.661251,214.526230
115,0,-0.021945,-0.008937,0.120599,13.672853,-12.655596,214.533478
116,0,-0.021960,-0.008789,0.120606,13.685523,-12.662875,214.514374
117,0,-0.022147,-0.008779,0.120480,13.664172,-12.641734,214.524506
118,0,-0.021843,-0.008916,0.120582,13.687955,-12.681129,214.556152
119,0,-0.022051,-0.008722,0.120650,13.700961,-12.662501,214.498840
120,0,-0.022151,-0.008593,0.120815,13.670558,-12.659179,214.515945
121,0,-0.021989,-0.008718,0.120612,13.686380,-12.632298,214.522491
122,0,-0.021920,-0.008538,0.120889,13.685991,-12.658712,214.524078
123,0,-0.021912,-0.008669,0.120666,13.681023,-12.680332,214.535522
124,0,-0.022011,-0.008716,0.120563,13.683922,-12.630230,214.519958
125,0,-0.021793,-0.008678,0.120749,13.683540,-12.681388,214.521667
126,0,-0.021933,-0.008803,0.120756,13.666673,-12.662447,214.532791
127,0,-0.022073,-0.008648,0.120693,13.677389,-12.629460,214.541321
128,0,-0.022070,-0.008955,0.120474,13.680532,-12.644606,214.513763
129,0,-0.021946,-0.008522,0.120944,13.688430,-12.660486,214.522507
130,0,-0.022136,-0.008785,0.120695,13.680114,-12.638852,214.516342
131,0,-0.021852,-0.008752,0.120589,13.682644,-12.655437,214.525177
132,0,-0.021919,-0.008604,0.120777,13.689835,-12.664489,214.530151
133,0,-0.022140,-0.008828,0.120613,13.668517,-12.638371,214.515686
134,0,-0.021997,-0.008676,0.120714,13.689858,-12.664145,214.521698
135,0,-0.022148,-0.008700,0.120568,13.687827,-12.642165,214.509888
136,0,-0.021887,-0.008789,0.120769,13.682494,-12.675012,214.515854
137,0,-0.022005,-0.008681,0.120683,13.682787,-12.669156,214.544907
138,0,-0.021955,-0.008713,0.120600,13.676911,-12.666030,214.526215
139,0,-0.021889,-0.008661,0.120713,13.692696,-12.663504,214.529495
140,0,-0.021940,-0.008442,0.120857,13.697184,-12.666706,214.541306
141,0,-0.021954,-0.008669,0.120611,13.688312,-12.662232,214.520737
142,0,-0.021865,-0.008695,0.120853,13.677506,-12.670454,214.521164
143,0,-0.022077,-0.008666,0.120738,13.689021,-12.648131,214.519318
144,0,-0.021973,-0.008707,0.120581,13.679327,-12.674011,214.528381
145,0,-0.021927,-0.008488,0.120806,13.695221,-12.649715,214.523087
146,0,-0.021962,-0.008572,0.120888,13.695142,-12.674854,214.522263
147,0,-0.022229,-0.008627,0.120843,13.669868,-12.657824,214.507248
148,0,-0.021849,-0.008777,0.120607,13.676902,-12.685616,214.531265
149,0,-0.022068,-0.008677,0.120701,13.684996,-12.637177,214.528534
150,0,-0.021898,-0.008613,0.120750,13.693866,-12.674740,214.525742
151,0,-0.021703,-0.008632,0.120723,13.687200,-12.679076,214.534439
152,0,-0.021915,-0.008783,0.120641,13.684132,-12.693862,214.517502
153,0,-0.022005,-0.008523,0.120844,13.694162,-12.661530,214.536057
154,0,-0.021977,-0.008829,0.120670,13.681679,-12.669998,214.525528
155,0,-0.021846,-0.008420,0.121185,13.696332,-12.685679,214.526230
156,0,-0.021855,-0.008654,0.120359,13.692195,-12.675290,214.533035
157,0,-0.022038,-0.008632,0.120874,13.679394,-12.666798,214.545593
158,0,-0.022894,-0.007815,0.121766,13.661640,-12.741542,214.509964
159,0,-0.023032,-0.008242,0.121261,13.656767,-12.754382,214.504440
160,0,-0.023083,-0.008806,0.119663,13.662004,-12.713010,214.512146
161,0,-0.023169,-0.009238,0.119188,13.627378,-12.720733,214.506195
162,0,-0.023096,-0.008927,0.120276,13.598624,-12.704070,214.528503
163,0,-0.023084,-0.008590,0.120938,13.606627,-12.711251,214.521072
164,0,-0.022777,-0.008425,0.120331,13.684543,-12.754221,214.519745
165,0,-0.023072,-0.008182,0.119907,13.730850,-12.709017,214.503311
166,0,-0.022818,-0.008172,0.120875,13.718178,-12.702015,214.520615
167,0,-0.022759,-0.008366,0.121122,13.673839,-12.743098,214.525101
168,0,-0.022536,-0.008872,0.119278,13.695691,-12.680008,214.569794
169,0,-0.022613,-0.008705,0.120238,13.643124,-12.695781,214.531891
170,0,-0.022585,-0.008796,0.120750,13.641099,-12.674628,214.526672
171,0,-0.022442,-0.008720,0.120773,13.664302,-12.681884,214.521866
172,0,-0.022369,-0.008531,0.120484,13.703573,-12.672839,214.531265
173,0,-0.022643,-0.007881,0.120663,13.752692,-12.618549,214.521240
174,0,-0.022502,-0.007871,0.121226,13.740067,-12.605684,214.525192
175,0,-0.021637,-0.007916,0.121250,13.714952,-12.627538,214.541595
176,0,-0.022399,-0.008042,0.120807,13.706625,-12.629141,214.530090
177,0,-0.022394,-0.008015,0.120865,13.710690,-12.608507,214.527161
178,0,-0.022258,-0.007989,0.121137,13.726608,-12.600407,214.531418
179,0,-0.022003,-0.007817,0.121202,13.737290,-12.639933,214.545395
180,0,-0.022163,-0.007903,0.120862,13.742698,-12.620914,214.543915
181,0,-0.022057,-0.007900,0.121045,13.738083,-12.627321,214.568680
182,0,-0.021990,-0.008064,0.121087,13.719051,-12.637151,214.547745
183,0,-0.022082,-0.008182,0.120966,13.703667,-12.647806,214.553513
184,0,-0.022017,-0.008355,0.120767,13.704958,-12.643411,214.555481
185,0,-0.022009,-0.007767,0.121151,13.733952,-12.619269,214.690460
186,0,-0.022400,-0.007819,0.121497,13.718336,-12.432665,214.956451
187,0,-0.022142,-0.008252,0.121165,13.647038,-12.303372,215.580917
188,0,-0.022554,-0.009709,0.118676,13.584188,-12.123857,216.474060
189,0,-0.021975,-0.011815,0.117400,13.632481,-11.924634,217.936005
190,0,-0.021043,-0.014242,0.117252,13.672855,-11.741561,220.054520
191,0,-0.019028,-0.017472,0.116791,13.653077,-11.663020,223.029480
192,0,-0.016698,-0.021135,0.115220,13.622958,-11.572328,227.012024
193,0,-0.014523,-0.022046,0.114300,13.490337,-11.442268,232.137634
194,0,-0.013571,-0.022624,0.112406,13.368675,-11.262345,238.193756
195,0,-0.011768,-0.020752,0.112275,13.134940,-11.188821,245.463135
196,0,-0.010216,-0.019301,0.110270,12.906831,-11.165166,253.691910
197,0,-0.009577,-0.016324,0.110550,12.592298,-11.161598,262.850464
198,0,-0.007848,-0.013517,0.110516,12.335222,-11.030800,272.960052
199,0,-0.005631,-0.011259,0.110865,11.974130,-11.075804,283.817291
200,0,-0.002913,-0.008318,0.109881,11.651917,-11.104204,295.585480
201,0,-0.002406,-0.004873,0.110281,11.330113,-11.131993,308.073578
202,0,-0.002251,-0.000676,0.110948,11.003786,-11.376968,321.263153
203,0,-0.001325,0.003697,0.111278,10.827824,-11.519433,335.089813
204,0,0.000233,0.007947,0.113007,10.586127,-11.782087,349.406738
205,0,0.001546,0.009130,0.112690,10.433219,-12.126945,364.406372
206,0,0.000861,0.007080,0.112915,10.307033,-12.446805,380.009247
207,0,-0.002445,0.004319,0.113921,10.231544,-12.787788,396.057281
208,0,-0.004833,0.001089,0.113402,10.241323,-13.229094,412.458374
209,0,-0.006332,-0.000784,0.114201,10.265650,-13.639203,429.198975
210,0,-0.005142,0.000706,0.114561,10.400951,-14.225824,445.994995
211,0,-0.003061,0.004467,0.114471,10.645803,-14.742361,463.254150
212,0,-0.001514,0.007931,0.114486,10.861040,-15.372490,480.576996
213,0,0.000357,0.010648,0.114947,11.162916,-16.093058,498.096283
214,0,-0.000222,0.010245,0.113922,11.458347,-16.756929,515.825073
